node:1 dist:0
node:2 dist:1990
node:3 dist:2098
node:4 dist:2820
node:5 dist:3142
node:6 dist:3459
node:7 dist:4149
node:8 dist:4777
node:9 dist:6534
node:10 dist:7390
node:11 dist:7832
node:12 dist:8287
node:13 dist:1061117623
node:14 dist:1061117801
node:15 dist:1061118708
node:16 dist:858
node:17 dist:1231
node:18 dist:2286
node:19 dist:2560
node:20 dist:2741
node:21 dist:2612
node:22 dist:4215
node:23 dist:5212
node:24 dist:6040
node:25 dist:6684
node:26 dist:6983
node:27 dist:10376
node:28 dist:10999
node:29 dist:1061117927
node:30 dist:2122219134
node:31 dist:1049
node:32 dist:1331
node:33 dist:2265
node:34 dist:2386
node:35 dist:2638
node:36 dist:3148
node:37 dist:4074
node:38 dist:4345
node:39 dist:4290
node:40 dist:5105
node:41 dist:10319
node:42 dist:9990
node:43 dist:10576
node:44 dist:10289
node:45 dist:9003
node:46 dist:1321
node:47 dist:1758
node:48 dist:2535
node:49 dist:2433
node:50 dist:2588
node:51 dist:2724
node:52 dist:4162
node:53 dist:4219
node:54 dist:4237
node:55 dist:5122
node:56 dist:9581
node:57 dist:9798
node:58 dist:10000
node:59 dist:9980
node:60 dist:10586
node:61 dist:1437
node:62 dist:1564
node:63 dist:1661
node:64 dist:2092
node:65 dist:2095
node:66 dist:2756
node:67 dist:3241
node:68 dist:3487
node:69 dist:4404
node:70 dist:4499
node:71 dist:9268
node:72 dist:9324
node:73 dist:10124
node:74 dist:9837
node:75 dist:10065
node:76 dist:1974
node:77 dist:1995
node:78 dist:2191
node:79 dist:2965
node:80 dist:3707
node:81 dist:3634
node:82 dist:3760
node:83 dist:4023
node:84 dist:4477
node:85 dist:4885
node:86 dist:9032
node:87 dist:8689
node:88 dist:9355
node:89 dist:9771
node:90 dist:10462
node:91 dist:10264
node:92 dist:10119
node:93 dist:2897
node:94 dist:3802
node:95 dist:4375
node:96 dist:4109
node:97 dist:4527
node:98 dist:4893
node:99 dist:4719
node:100 dist:5096
node:101 dist:5994
node:102 dist:8012
node:103 dist:7626
node:104 dist:10145
node:105 dist:10265
node:106 dist:9784
node:107 dist:9366
node:108 dist:3762
node:109 dist:3794
node:110 dist:4523
node:111 dist:4203
node:112 dist:4929
node:113 dist:5245
node:114 dist:5361
node:115 dist:5200
node:116 dist:5790
node:117 dist:8174
node:118 dist:6629
node:119 dist:7580
node:120 dist:8241
node:121 dist:9444
node:122 dist:9241
node:123 dist:8363
node:124 dist:4697
node:125 dist:4480
node:126 dist:4606
node:127 dist:7143
node:128 dist:6501
node:129 dist:6136
node:130 dist:5204
node:131 dist:5412
node:132 dist:5475
node:133 dist:5646
node:134 dist:7551
node:135 dist:7535
node:136 dist:10281
node:137 dist:7673
node:138 dist:7873
node:139 dist:5350
node:140 dist:5738
node:141 dist:5013
node:142 dist:7182
node:143 dist:6700
node:144 dist:6443
node:145 dist:5842
node:146 dist:6251
node:147 dist:6451
node:148 dist:5904
node:149 dist:6876
node:150 dist:7458
node:151 dist:7660
node:152 dist:6702
node:153 dist:6474
node:154 dist:5936
node:155 dist:6290
node:156 dist:7762
node:157 dist:7707
node:158 dist:7534
node:159 dist:6977
node:160 dist:7027
node:161 dist:6257
node:162 dist:6601
node:163 dist:6682
node:164 dist:7566
node:165 dist:7890
node:166 dist:8131
node:167 dist:7172
node:168 dist:6961
node:169 dist:6167
node:170 dist:7124
node:171 dist:8070
node:172 dist:7925
node:173 dist:7699
node:174 dist:7691
node:175 dist:7377
node:176 dist:6478
node:177 dist:7196
node:178 dist:8641
node:179 dist:8337
node:180 dist:7898
node:181 dist:8379
node:182 dist:8134
node:183 dist:6568
node:184 dist:6792
node:185 dist:7644
node:186 dist:7911
node:187 dist:7880
node:188 dist:7626
node:189 dist:7504
node:190 dist:7389
node:191 dist:7794
node:192 dist:7792
node:193 dist:8507
node:194 dist:8504
node:195 dist:8661
node:196 dist:8656
node:197 dist:8238
node:198 dist:8312
node:199 dist:8482
node:200 dist:7742
node:201 dist:7984
node:202 dist:8244
node:203 dist:8152
node:204 dist:8248
node:205 dist:8106
node:206 dist:8747
node:207 dist:8218
node:208 dist:8306
node:209 dist:9062
node:210 dist:8670
node:211 dist:8790
node:212 dist:8812
node:213 dist:8492
node:214 dist:8320
node:215 dist:7958
node:216 dist:8769
node:217 dist:8381
node:218 dist:8661
node:219 dist:9012
node:220 dist:8833
node:221 dist:9051
node:222 dist:8376
node:223 dist:8884
node:224 dist:9138
node:225 dist:9230

